I (2581) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 185 0.629486 15232
I (2591) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 186 0.462914 12079
I (2611) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 187 0.462914 12079
I (2621) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 188 0.288686 8781
I (2631) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 189 0.288686 8781
I (2641) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 190 0.107829 5358
I (2651) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 191 0.107829 5358
I (2661) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 192 -0.076617 1866
I (2681) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 193 -0.076617 1866
I (2691) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 194 -0.262490 -1652
I (2701) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 195 -0.262490 -1652
I (2711) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 196 -0.447663 -5157
I (2721) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 197 -0.447663 -5157
I (2731) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 198 -0.629734 -8604
I (2751) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 199 -0.629734 -8604
I (2761) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 200 -0.805756 -11936
I (2771) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 201 -0.805756 -11936
I (2781) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 202 -0.974559 -15131
I (2791) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 203 -0.974559 -15131
I (2801) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 204 -1.134954 -18167
I (2821) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 205 -1.134954 -18167
I (2831) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 206 -1.283420 -20977
I (2841) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 207 -1.283420 -20977
I (2851) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 208 -1.419067 -23545
I (2861) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 209 -1.419067 -23545
I (2871) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 210 -1.540341 -25841
I (2891) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 211 -1.540341 -25841
I (2901) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 212 -1.647398 -27867
I (2911) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 213 -1.647398 -27867
I (2921) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 214 -1.735187 -29529
I (2931) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 215 -1.735187 -29529
I (2941) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 216 -1.806353 -30876
I (2961) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 217 -1.806353 -30876
I (2971) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 218 -1.858111 -31856
I (2981) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 219 -1.858111 -31856
I (2991) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 220 -1.891533 -32488
I (3001) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 221 -1.891533 -32488
I (3011) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 222 -1.905767 -32758
I (3031) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 223 -1.905767 -32758
I (3041) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 224 -1.900248 -32653
I (3051) main:sumWaves: min_sample=-1.906246, max_sample=1.555808, range=3.462053, scale=9464.614258, 225 -1.900248 -32653
